qlet	Birt`h order (within pregnancy)
kp3134	C11e: Current worries about child ache or pain problem
kp3140	C12a: Other problems which child saw specialist for since child was 5
kp3141	C12b: Number of different problems child saw specialist for
kp3151	C12d: Child seen by specialist for other problem number 1
kp3152	C12e: Age when seen by specialist for other problem number 1
kp3161	C12d: Child seen by specialist for other problem number 2
kp3162	C12e: Age when seen by specialist for other problem number 2
kp3171	C12d: Child seen by specialist for other problem number 3
kp3172	C12e: Age when seen by specialist for other problem number 3
kp6030	F3a: Frequency child has temper tantrums
kp6031	F3b1: Tantrum cause - failure to get what wants
kp6032	F3b2: Tantrum cause - failure to make self understood
kp6033	F3b3: Tantrum cause - reaction to being corrected
kp6034	F3b4: Tantrum cause - refusal to do something
kp6035	F3b5: Tantrum cause - failure to get attention
kp6036	F3b6: Tantrum cause - feeling that sibling gets preferential treatmnt
kp6037	F3b7: Tantrum cause - no particular reason
kp6038	F3b8: Tantrum cause - other
kp6060	F4a: Frequency child rocks head/body for no reason
kp6061	F4b: Frequency child has tic or twitch
kp6062	F4c: Frequency child has unusual behaviour
kp7000a	G1a: Date child measured 1 - month
kp7000b	G1a: Date child measured 1 - year
kp7000c	DV: Components missing (after identification of illegal dates)
kp7001	G1a: Child's weight measurement number 1 - kgs
kp7002	G1a: Child's height measurement number 1 - cms
kp7003	G1a: Child's head circumference measurement number 1 - cms
kp7005a	G1b: Date child measured 1 - month
kp7005b	G1b: Date child measured 1 - year
kp7005c	DV: Components missing (after identification of illegal dates)
kp7006	G1b: Child's weight measurement number 2 - kgs
kp7007	G1b: Child's height measurement number 2 - cms
kp7008	G1b: Child's head circumference measurement number 2 - cms
kp7100a	DV: Age of study child at measurement 1 (years)
kp7100b	DV: Age of study child at measurement 1 (months)
kp7100c	DV: Age of study child at measurement 1 (weeks)
kp7101a	DV: Age of study child at measurement 2 (years)
kp7101b	DV: Age of study child at measurement 2 (months)
kp7101c	DV: Age of study child at measurement 2 (weeks)
kp9980	H1a: Questionnaire completed by mother
kp9981	H1b: Questionnaire completed by father
kp9982	H1c: Questionnaire completed by other
kp9984	DV: Number of contributors to questionnaire
kp9985	DV: Questionnaire completed by...
kp9990a	H2: Date of completion of questionnaire - month
kp9990b	H2: Date of completion of questionnaire - year
kp9990c	DV: Date of completion replaced with date of receipt
kp9991a	DV: Age of study child at completion (months)
kp9991b	DV: Age of study child at completion (weeks)
kq001	Questionnaire version
kq280	B4d: Mothers Feeling About CH Sleep Pattern
kq317	DV: Total No. Sleep problems
kq320	C1: CH Considerate Others Feelings Past 6 Mths
kq321	C2: CH Restless/Overactive Past 6 Mths
kq322	C3: CH Complained Of Head/Stom Ache Past 6 Mths
kq323	C4: CH Shared With Other Kids Past 6 Mths
kq324	C5: CH Often Had Temper Tantrum Past 6 Mths
kq325	C6: CH Solitary & Played Alone Past 6 Mths
kq326	C7: CH Generally Obedient Past 6 Mths
kq327	C8: CH Had Many Worries Past 6 Mths
kq328	C9: CH Helpful If Someone Hurt Past 6 Mths
kq329	C10: CH Const Fidgets/Squirmy Past 6 Mths
kq330	C11: CH Had At Least One Good Friend Past 6 Mths
kq331	C12: CH Fights With/Bullies Other Kids Past 6 Mths
kq332	C13: CH Often Tearful/Unhappy In Past 6 Mths
kq333	C14: CH Generally Liked By Other Kids Past 6 Mths
kq334	C15: CH Easily Distracted In Past 6 Mths
kq335	C16: CH Nervous/Clingy In New Sits Past 6 Mths
kq336	C17: CH Kind To Younger Children Past 6 Mths
kq337	C18: CH Often Lied Or Cheated In Past 6 Mths
kq338	C19: CH Been Bullied In Past 6 Mths
kq339	C20: CH Often Vol To Help Others Past 6 Mths
kq340	C21: CH Thinks Things Out Before Act Past 6 Mths
kq341	C22: CH Stolen Past 6 Mths
kq342	C23: CH Got On Better With Adults Past 6 Mths
kq343	C24: CH Had Many Fears Past 6 Mths
kq344	C25: CH Has Good Attention Span Past 6 Mths
kq360	D1: Child was taken into care since his/her 5th birthday
kq360a	DV: Child was taken into care since his/her 5th birthday (Y/N)
kq361	D2: A pet died since child's 5th birthday
kq361a	DV: A pet died since child's 5th birthday (Y/N)
kq362	D3: Child moved home since his/her 5th birthday
kq362a	DV: Child moved home since his/her 5th birthday (Y/N)
kq363	D4: Child had a shock/fright since his/her 5th birthday
kq363a	DV: Child had a shock/fright since his/her 5th birthday (Y/N)
kq364	D5: Child was physically hurt by someone since his/her 5th birthday
kq364a	DV: Child was physically hurt by someone since his/her 5th birthday (Y/N)
kq365	D6: Child was sexually abused since his/her 5th birthday
kq365a	DV: Child was sexually abused since his/her 5th birthday (Y/N)
kq366	D7: Somebody in the family died since child's 5th birthday
kq366a	DV: Somebody in the family died since child's 5th birthday (Y/N)
kq367	D8: Child was separated from his/her mother since his/her 5th birthday
kq367a	DV: Child was separated from his/her mother since his/her 5th birthday (Y/N)
kq368	D9: Child was separated from his/her father since his/her 5th birthday
kq368a	DV: Child was separated from his/her father since his/her 5th birthday (Y/N)
kq369	D10: Child acquired a new mother/father since his/her 5th birthday
kq369a	DV: Child acquired a new mother/father since his/her 5th birthday (Y/N)
kq370	D11: Child had a new brother or sister since his/her 5th birthday
kq370a	DV: Child had a new brother or sister since his/her 5th birthday (Y/N)
kq371	D12: Child was admitted to hospital since his/her 5th birthday
kq371a	DV: Child was admitted to hospital since his/her 5th birthday (Y/N)
kq372	D13: Child changed care taker since his/her 5th birthday
kq372a	DV: Child changed care taker since his/her 5th birthday (Y/N)
kq373	D14: Child was separated from another close person since his/her 5th birthday
kq373a	DV: Child was separated from another close person since his/her 5th birthday (Y/N)
kq374	D15: Child started a new school/kindergarten since his/her 5th birthday
kq374a	DV: Child started a new school/kindergarten since his/her 5th birthday (Y/N)
kq375	D16: Child started school since his/her 5th birthday
kq375a	DV: Child started school since his/her 5th birthday (Y/N)
kq376	D17: Child lost his/her best friend since his/her 5th birthday
kq376a	DV: Child lost his/her best friend since his/her 5th birthday (Y/N)
kq377	D18: Something else happened since child's 5th birthday
kq377a	DV: Something else happened since child's 5th birthday (Y/N)
kq465	E4a: Does CH Share Toys With Others
kq466	E4b: CH Shares Others Toys Knowing Not Own
kq467	E4c: CH Feels Sympathy For Others If Hurt
kq468	E4d: CH Thinks Of Things To Do To Please Parent
kq469	E4e: CH Takes Turns In Game Without Fuss
kq470	E4f: Can CH Play Card Games
kq471	E4g: Can CH Play Any Board Games
kq472	E4h: Can CH Play Chess
kq473	DV: No. Playing & Sharing Items Unable To Try
kq474	DV: No. Playing & Sharing Items Not Had Chance To Try
kq505	E7a: Can CH Listen To Story From Start To End
kq506	E7b: Can CH Understand Instructions
kq507	E7c: Does CH Ever Sing Songs
kq508	E7d: Does CH Talk Clearly
kq509	E7e: Does CH Ask Sensible Questions
kq510	E7f: Can CH Carry On A Conversation
kq552	E14a: Mum Worried About CH Speech
kq553	E14b: Mum Worried About CH Weight
kq554	E14c: Mum Worried About CH Height
kq555	E14d: Mum Worried About CH Behaviour
kq556	E14e: Mum Worried About CH Gen Development
kq569	F1j: Freq CH Has Physiotherapy
kq677	G3c: CH Been Choosy With Food In Past Year
kq677a	DV: Ch Been Choosy with Food In Past Year
kq990	H1a: Questionnaire completed by mother
kq991	H1b: Questionnaire completed by father
kq992	H1c: Questionnaire completed by other
kq993	DV: Number of contributors to questionnaire
kq994	DV: Questionnaire completed by...
kq995	H2: Date questionnaire completed - month
kq998a	DV: Age of child at completion (months)
kq998b	DV: Age of child at completion (weeks)
kq998c	DV: Assumptions made in calculating child's age at completion
kr001	Questionnaire version
kr200	C2: Child has worried about separation from special people in past month
kr201	C3a: Degree to which child worried about something unpleasant happening to special people in past month relative to peers
kr201a	DV: Child worried more than peers about something unpleasant happening to special people in past month
kr202	C3b: Degree to which child worried about being taken away from special people in past month relative to peers
kr202a	DV: Child worried more than peers about being taken away from special people in past month
kr203	C3c: Degree to which child was unwilling to go to school in case something nasty happened to special people in past month relative to peers
kr203a	DV: Child was more unwilling than peers to go to school in case something nasty happened to special people in past month
kr204	C3d: Degree to which child worried about sleeping alone in past month relative to peers
kr204a	DV: Child worried more than peers about sleeping alone in past month
kr205	C3e: Degree to which child left bedroom at night to check on special people in past month relative to peers
kr205a	DV: Child left bedroom more than peers at night to check on special people in past month
kr206	C3f: Degree to which child worried about sleeping in a strange place in past month relative to peers
kr206a	DV: Child worried more than peers about sleeping in a strange place in past month
kr207	C3g: Degree to which child was afraid of being alone in a room at home without special people in past month relative to peers
kr207a	DV: Child was more afraid than peers of being alone in a room at home without special people in past month
kr208	C3h: Degree to which child had repeated nightmares about being separated from special people in past month relative to peers
kr208a	DV: Child had more repeated nightmares than peers about being separated from special people in past month
kr209	C3i: Degree to which child was ill when leaving special people in past month relative to peers
kr209a	DV: Child was more ill than peers when leaving special people in past month
kr210	C3j: Degree to which child had tantrums when separated from special people in past month relative to peers
kr210a	DV: Child had more tantrums than peers when separated from special people in past month
kr211a	DV: Number of separation anxiety symptoms
kr211b	DV: Any separation anxiety symptoms
kr211c	DV: Number of missing separation anxiety symptoms components
kr212a	DV: Number of severe separation anxiety symptoms
kr212b	DV: Any severe separation anxiety symptoms
kr212c	DV: Number of missing separation anxiety symptoms components
kr213c	DV: Number of missing separation anxiety symptoms components
kr214	C4a: Duration of child's separation anxieties
kr215	C4b: Child had separation anxieties before the age of six
kr216	C5: Degree to which separation anxieties upset child
kr217	C6a: Degree to which child's separation anxieties interfered with family relationships
kr218	C6b: Degree to which child's separation anxieties interfered with making friends
kr219	C6c: Degree to which child's separation anxieties interfered with school/learning
kr220	C6d: Degree to which child's separation anxieties interfered with playing/hobbies
kr221	C7: Degree to which child's separation anxieties have burdened the family
kr222b	DV: Any burden of separation anxieties
kr222c	DV: Number of missing burden of separation anxieties components
kr250	E1: Child fears situations involving lots of people
kr251	E2a: Degree to which child was afraid of meeting new people in past month
kr251a	DV: Child was afraid of meeting new people in past month
kr252	E2b: Degree to which child was afraid of meeting lots of people in past month
kr252a	DV: Child was afraid of meeting lots of people in past month
kr253	E2c: Degree to which child was afraid of speaking in class in past month
kr253a	DV: Child was afraid of speaking in class in past month
kr254	E2d: Degree to which child was afraid of reading out loud before others in past month
kr254a	DV: Child was afraid of reading out loud before others in past month
kr255	E2e: Degree to which child was afraid of writing in front of others in past month
kr255a	DV: Child was afraid of writing in front of others in past month
kr256	E2f: Degree to which child was afraid of eating in front of others in past month
kr256a	DV: Child was afraid of eating in front of others in past month
kr257a	DV: Number of social fears
kr257b	DV: Any social fears
kr257c	DV: Number of missing social fears components
kr258a	DV: Number of severe social fears
